County,Docket,Agency,File size,Property name,All commodities,,#,Mine Name,County,Commodity,Approx. Coordinates,Status
Juab,4242,DMEA,28 MB,Privateer Mine,Lead-zinc,,15,Privateer Mine,Juab,"Pb, Zn","39.922, -112.125",Inactive
Juab,4404,DMEA,10 MB,Sunbeam Mine,"Copper, lead, zinc",,16,Sunbeam Mine (Juab 4404),Juab,"Cu, Pb, Zn","39.885, -112.115",Inactive
Juab,4653,DMEA,32 MB,Sunbeam Mine,"Lead-zinc, copper",,17,Sunbeam Mine (Juab 4653),Juab,"Pb, Zn, Cu","39.882, -112.112",Inactive
Juab,5004,DMEA,11 MB,Iron Blossom No. 1 Mine,"Lead, copper",,18,Iron Blossom No. 1 Mine,Juab,"Pb, Cu","39.918, -112.095",Inactive
Juab,6015,OME,31 MB,Iron Blossom Mine,"Lead, copper",,19,Iron Blossom Mine,Juab,"Pb, Cu","39.920, -112.092",Inactive
Juab,6066,OME,1 MB,White Cloud Claims,Copper,,20,White Cloud Claims,Juab,Copper,"39.955, -112.115",Inactive
Juab,6067,OME,60 MB,Bullion Beck Mine,"Lead-zinc, copper",,21,Bullion Beck Mine,Juab,"Pb, Zn, Cu","39.952, -112.125",Inactive
Juab,6094,OME,16 MB,Whitelock Claims,Beryl,,22,Whitelock Claims,Juab,Beryl,"39.732, -113.225",Inactive
Juab,6106,OME,2 MB,Jeannie and Bell Hill Claims,Beryllium,,23,Jeannie and Bell Hill Claims,Juab,Beryllium,"39.735, -113.208",Inactive
Juab,6159,OME,7 MB,Topaz Mountain Properties,Beryllium,,24,Topaz Mountain Properties,Juab,Beryllium,"39.715, -113.112",Active/Rec
Juab,6325,OME,5 MB,Topaz Mountain,Beryllium,,25,Topaz Mountain,Juab,Beryllium,"39.709, -113.104",Active/Rec
Juab,6514,OME,19 MB,Mammoth Mine,"Silver, gold",,26,Mammoth Mine,Juab,"Ag, Au","39.923, -112.114",Inactive
Juab,6646,OME,118 MB,Crown Point and East Crown Point Claims,Silver,,27,Crown Point / East Crown Point,Juab,Silver,"39.925, -112.085",Inactive
Juab,6721,OME,1 MB,Utah Mine,Silver,,28,Utah Mine,Juab,Silver,"39.855, -113.805",Inactive
